Company,Content,Date,LinkSrc,Title
데일리안,30일 오전 국회에서 열린 자유한국당 비대위원-중진의원 연석회의에서 김무성 의원이 발언하고 있다. 김 의원은 “문재인 정부가 7 ,1분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=119&aid=0002308820,<포토>김무성 “역사는 문 대통령 국가재정 파탄 주범으로 기록할 것”
YTN,바른미래당 김관영 원내대표는 국회의원의 이해충돌 논란과 관련해 늦었지만 국회 차원에서 진지한 논의를 본격적으로 시작해 법제화를 ,2분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=052&aid=0001247466,"김관영 ""이해충돌 방지, 법제화 모색해야"""
연합뉴스,(도쿄=연합뉴스) 박세진 특파원 = 일본 해상자위대 함정에서 지난해 발생했던 한 초급장교의 자살의 원인이 상관들의 집단적인 언어 ,2분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010610090,日 해상자위대 장교 자살…알고보니 '상관 갑질'이 원인
연합뉴스,(평택=연합뉴스) 홍기원 기자 = 자유한국당 당대표 출마를 선언한 황교안 전 국무총리가 30일 오전 경기도 평택시 해군2함대를  ,2분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010610089,천안함 용사 추모비 살펴보는 황교안 전 총리
연합뉴스,(평택=연합뉴스) 홍기원 기자 = 자유한국당 당대표 출마를 선언한 황교안 전 국무총리가 30일 오전 경기도 평택시 해군2함대를  ,2분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010610088,천안함 용사 추모비 살펴보는 황교안 전 총리
연합뉴스,(평택=연합뉴스) 홍기원 기자 = 자유한국당 당대표 출마를 선언한 황교안 전 국무총리가 30일 오전 경기도 평택시 해군2함대를  ,3분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010610087,해군2함대 방문한 황교안 전 총리
연합뉴스,(평택=연합뉴스) 홍기원 기자 = 자유한국당 당대표 출마를 선언한 황교안 전 국무총리가 30일 오전 경기도 평택시 해군2함대를  ,3분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010610086,해군2함대 방문한 황교안 전 총리
부산일보,[속보] 법원 김경수 드루킹 댓글조작으로 여론 주도 도움 얻어부산일보3분전,3분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=082&aid=0000875108,"[속보] 법원 ""김경수, 드루킹 댓글조작으로 여론 주도 도움 얻어"""
연합뉴스,(서울=연합뉴스) 김연정 기자 = 바른미래당은 30일 손학규 대표를 상임 공동위원장으로 하는 '광주세계수영선수권대회 지원특별위원 ,3분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010610083,"바른미래 광주세계수영선수권대회 홍보 앞장…""범정부지원 요청"""
한국일보,정부가 총 24조1000억원 규모의 예비타당성 조사(예타) 면제대상 사업을 선정한 것과 관련해 30일 야권 지도부가 “지지율  ,3분전,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=469&aid=0000361126,"“총선대비용, 지지율 방어용” 야권 지도부, 예타 면제 맹폭"
